word,count
said,5076457
eyes,4018939
free,3218980
even,3147133
la,2582888
pack,2572604
dont,2563472
alpha,2549048
family,2410929
never,2406686
go,2333239
looked,2303396
face,2282511
look,2193767
room,2155388
mate,2145170
still,2086795
away,2070861
going,2055066
made,1998938
around,1964424
life,1949654
didnt,1928558
man,1902091
best,1896165
right,1862634
way,1847491
head,1841985
asked,1821592
shipping,1797356
en,1793879
sale,1786855
love,1714536
door,1651256
hand,1627177
knew,1616755
im,1613417
voice,1604143
got,1587897
two,1578184
let,1570670
felt,1549239
little,1517012
“i,1494058
good,1483866
took,1457822
come,1455530
heart,1453643
home,1449157
wanted,1447253
think,1430936
something,1391061
el,1390599
say,1389260
long,1376664
left,1376037
didn’t,1371572
thought,1371361
people,1360548
much,1359780
turned,1347156
perfect,1323098
hair,1311798
shop,1307858
feel,1300398
wolf,1266837
always,1259900
everything,1259844
looking,1258701
para,1258558
body,1247115
don’t,1238051
car,1236294
without,1232198
se,1221354
well,1218146
gift,1213609
father,1209630
limited,1198049
already,1163324
really,1157025
un,1154481
since,1150061
buy,1146210
went,1136354
days,1136301
order,1132727
three,1121176
50,1113861
save,1112237
world,1109791
came,1106533
woman,1096897
2,1096309
luna,1094648
night,1091113
black,1090099
next,1087209
phone,1082712
instagramcom,1079459
house,1060697
give,1051884
saw,1051010
e,1040757
3,1040149
heard,1013360
youre,1007796
put,996172
another,993910
sure,987164
soon,982710
everyone,981659
walked,981541
pain,976160
hands,969655
moment,964759
ever,960070
work,958844
anything,955543
found,948434
it’s,943068
started,936020
tell,929711
front,929136
nothing,926197
couldnt,925610
style,924588
things,921934
behind,919193
smile,912639
con,911709
leave,910825
someone,909332
miss,906861
collection,906707
i’m,899325
enough,892078
ready,885381
finally,882421
name,880571
girl,877935
mind,867260
quickly,856236
start,854948
playgooglecom,854249
30,851413
words,848907
though,839017
mother,836221
use,832103
making,830993
told,819180
10,813101
money,811520
suddenly,803215
👉,800965
mr,784237
however,783563
place,782439
try,781083
yet,777337
worldwide,775510
thing,769772
🔥,768509
big,764591
cant,764101
felix,760821
tears,758982
beautiful,757652
bed,751236
open,750718
“you,747939
ill,744381
code,741290
le,740197
son,732661
fashion,729815
su,727694
side,724397
inside,723706
together,723045
call,722918
deep,718627
tried,716085
getting,713745
full,708969
please,706196
20,703470
hard,703458
high,703412
almost,701172
clothes,697656
experience,694657
por,693290
school,691116
cold,689712
easy,689456
stop,682762
alex,681464
triplets,673889
trying,673822
online,673297
old,669990
set,668764
click,668499
happy,665748
available,665591
baby,662936
business,661210
show,658937
lips,658917
5,652336
end,649747
arms,647258
design,643919
stay,643840
gave,642288
stood,642025
una,640877
learn,640275
past,638756
parents,635252
done,634941
live,634216
dark,633880
smiled,632370
daughter,631246
ago,629755
gifts,627522
feeling,625453
watch,624231
within,623858
offer,623554
top,620975
enjoy,619628
app,619385
couldn’t,612822
friends,611710
100,610475
child,608123
later,606674
dress,604546
seemed,602808
hear,602324
wasnt,600700
must,594559
discover,592798
great,592263
nodded,588580
read,588337
chance,587695
happened,587406
4,587336
second,586797
hours,586543
birthday,586419
gaze,585398
dad,585386
used,584857
coming,584382
course,581581
immediately,581516
chapter,579233
anyone,577672
else,576516
small,576474
blood,575841
matter,575054
tu,574154
person,572345
believe,570803
fast,565559
step,563320
return,563192
taking,560512
turn,558853
sorry,558438
los,554426
future,553933
unique,552720
become,548897
floor,548067
skin,547802
needed,547499
wait,546592
minutes,545646
towards,545150
seen,542470
friend,542258
table,541638
game,539955
men,536758
part,536335
might,534919
real,534554
light,534091
lot,533629
ask,530808
calix,530493
special,528974
meet,527064
run,526777
plan,526310
called,525377
divorce,525052
✨,522562
women,521353
bit,521103
lo,517939
marriage,514884
can’t,512120
young,509082
you”,508019
na,507982
looks,507691
waiting,506999
mom,505745
loved,503358
wasn’t,502799
party,502267
thats,499281
whole,496721
held,495547
sister,494539
et,493795
christmas,493403
water,493281
morning,493227
pulled,490972
office,490953
true,488380
hurt,488056
you’re,485605
actually,485186
opened,485143
breath,485092
wont,482619
play,481495
red,481135
support,481045
mean,473455
price,470519
hot,470465
low,470315
book,470228
sa,470113
king,470035
kept,469802
blue,469669
friday,469319
girls,469037
different,469000
music,468125
lost,466085
mouth,465434
stopped,465408
—,465024
yes,464647
bring,463789
rest,462437
brother,461715
store,461635
más,460813
quality,460747
power,460454
married,460008
gone,457914
products,457333
check,457067
change,456694
air,455730
beta,455360
al,454353
sat,454320
able,454309
talk,451278
moon,451069
fell,450892
ive,449805
seeing,449704
months,448286
ran,447677
alone,446239
comfort,444985
à,444458
es,444341
sound,444183
standing,440940
latest,439997
thinking,439718
te,439123
wrong,438889
close,438547
leaving,438449
scent,438166
bad,435373
feet,434627
expression,434187
wife,432539
least,431791
2023,431102
five,429785
15,429287
maybe,428872
white,427052
ground,426135
longer,425169
si,423343
living,422843
styles,421280
40,416605
met,416423
stand,414706
hit,412958
chest,412285
anymore,411337
slowly,410408
olivia,410278
far,409840
edition,409541
saying,409503
children,409094
word,408559
husband,406835
move,405520
grabbed,402574
group,402321
reason,401681
understand,400977
sighed,400806
stared,400391
walking,399858
hospital,399544
di,399399
create,398798
decided,398069
video,397827
attention,397027
instead,396931
hope,396690
bag,394721
times,393127
outside,390097
case,389525
fun,389254
changed,387481
sleep,387350
doesnt,386952
del,386598
wouldnt,386371
remember,386261
training,385479
mine,385473
arm,385433
tomorrow,384939
stock,384805
kind,384554
lets,384410
em,383006
🌟,382766
idea,380556
las,380394
control,380341
thank,379076
probably,378929
exclusive,377702
members,376972
link,376456
discount,375920
itunesapplecom,374779
fall,374599
across,374520
brought,374317
running,373142
mates,373071
clear,372604
may,372420
talking,371281
toward,370937
okay,370281
“what,369920
tone,369241
touch,369191
became,368520
completely,367337
neck,367171
personalized,366328
rena,365693
using,365407
items,363607
plus,363072
secret,363024
giving,362770
wear,362505
и,361922
entire,361394
anger,360302
late,359819
pay,359094
soft,358968
human,358350
food,358336
shes,358044
deal,357842
shook,357439
como,356147
four,355936
kids,355562
age,355415
simple,353761
city,353016
smell,352501
noticed,351743
alphas,351637
era,351096
caught,350991
choose,350414
fact,349813
hold,348483
wall,348136
says,347746
returned,347093
ang,346725
oh,346562
replied,346300
others,345605
⭐⭐⭐⭐⭐,345312
kitchen,345185
com,344315
art,343984
designed,343427
shirt,343396
access,343202
brand,343090
elevate,342925
marry,342729
walk,342632
handsome,341098
“i’m,340324
glanced,339571
comfortable,338390
filled,338342
warm,338049
closer,337830
orders,336892
week,335582
60,335352
huge,335214
makes,333621
that’s,332407
mi,331850
forward,331568
youll,330945
slightly,330930
customers,330389
spoke,329350
amazing,328571
taken,328477
hes,328332
answer,326062
journey,325553
holding,325542
sabrina,325520
tshirt,325085
🎁,324180
clothing,323633
single,323511
stepped,322640
sitting,320320
favorite,319971
fine,319151
surprise,318976
job,318490
company,318459
wedding,318306
health,318071
tonight,317262
hearing,317261
um,317100
worry,316213
pick,316143
ethan,315921
less,315267
powerful,314860
die,314676
raised,314287
wide,314249
figure,313832
il,312164
six,312076
goddess,311415
mais,310891
eye,310651
ultimate,310640
😍,310510
grab,310346
ai,310320
possible,310267
extra,309995
sense,309293
share,309131
turning,309061
não,308303
shift,308202
explore,307953
reached,307753
safe,306958
heres,306793
season,306241
mens,305969
story,305584
wearing,305202
me”,304546
luxury,304405
pregnant,304112
piece,304077
victoria,303623
break,303123
mina,302966
winter,302914
les,302814
fear,302685
fit,302648
important,302049
despite,301244
began,300499
i’ve,299865
dream,299773
short,298982
roxanne,298471
wolves,297766
wouldn’t,297540
24,297448
legs,297026
choice,296806
sent,296348
followed,296096
pretty,295701
clearance,295599
news,295035
25,293685
fight,293093
reading,292499
cut,292393
bathroom,292290
comes,292120
death,291382
seat,290971
pushed,290879
follow,289816
half,289704
along,289134
ones,287375
da,287369
designs,287001
2024,286900
number,286224
dare,285993
watching,285009
listen,284785
delivery,283031
happen,282858
energy,282728
whether,282299
straight,282056
tina,281978
isnt,281543
wardrobe,281169
angry,280824
continued,280821
master,280789
daily,280604
needs,280512
working,279939
sold,279003
gently,278650
speak,278191
closed,278064
onto,277734
você,277636
upon,277534
doctor,277520
visit,276048
simply,276040
size,275810
brown,275553
stomach,275331
street,275243
ria,275010
ella,274978
✔️,273971
calm,273806
either,273586
continue,273249
pero,272623
download,272512
million,272448
frowned,272375
bond,272221
stylish,272160
card,272115
shoes,272028
beauty,271942
passed,271301
given,270731
led,270688
cora,270336
community,270223
knowing,270197
super,270105
ring,269652
easily,269264
known,269115
arrived,269097
laughed,268221
truly,268026
month,267196
realized,267174
question,267137
throat,266947
it”,266419
surprised,265790
clean,265767
level,265729
instantly,265260
added,265053
meant,264814
color,264736
protect,263624
large,263587
mrs,263355
🚀,263039
dead,263005
staring,262731
colors,262727
watched,262662
в,262324
👇,262223
beside,262105
point,261975
features,261475
7,261307
moved,260614
glass,260574
ela,260395
natural,260269
picked,258889
i’ll,258599
due,258409
